carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
1	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
2	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
3	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
4	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
5	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
6	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
7	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
8	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
9	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
10	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
11	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
12	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
13	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
14	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
15	18295.84660167174	2189336.5138052725	136.0314388772488	39.05070321262298	825.6783473117454	941.0958095589516	14976.854166666673	746.6945702264017
