vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh37	8.00	480148041	0.40	57.00	549454264#1	49.00	830.13	1137.887557	135425.415758	8.339795	2.286939	51.779875	58.213234	
SCar	sveh511	92.00	190128487#4	0.10	97.00	190128487#4	5.00	61.40	42.543132	7439.558690	0.365392	0.094888	2.701374	3.197953	
SCar	sveh20	5.00	480148041	0.60	98.00	367461722	93.00	1717.30	2291.243453	279121.241224	17.136719	4.816258	105.116914	119.981602	
SCar	sveh119	23.00	480148041	1.00	100.00	549454264#1	77.00	830.13	4725.843945	203274.178987	26.331611	3.952933	83.124341	87.379928	
SCar	sveh121	24.00	480148041	1.40	101.00	549454264#1	77.00	830.13	4979.585664	221116.260957	27.950144	4.449200	91.973329	95.049144	
SCar	sveh164	31.00	480148041	0.70	102.00	549454264#1	71.00	830.13	3475.493346	168241.106988	19.856487	3.382601	69.952362	72.319943	
SCar	sveh182	34.00	480148041	0.10	103.00	549454264#1	69.00	830.13	3055.514456	172393.812616	17.971639	3.137188	68.232984	74.105220	
SCar	sveh187	35.00	480148041	0.00	105.00	549454264#1	70.00	830.13	1850.893403	151604.558355	11.930127	2.424858	58.462069	65.168476	
SCar	sveh63	15.00	480148041	2.10	111.00	367461722	96.00	1717.30	2534.343600	268077.623681	17.963920	4.804177	103.757039	115.234289	
SCar	sveh82	17.00	480148041	1.40	113.00	367461722	96.00	1717.30	2195.769877	264862.771780	16.248318	4.502357	100.486064	113.852515	
SCar	sveh266	51.00	480148041	0.50	113.00	549454264#1	62.00	830.13	3925.515942	280703.153654	24.634842	5.636045	118.058728	120.661022	
SCar	sveh60	14.00	480148041	1.90	114.00	367461722	100.00	1717.30	4394.217388	367921.475868	28.907118	7.248763	150.639697	158.151960	
SCar	sveh76	16.00	480148041	1.40	116.00	367461722	100.00	1717.30	3966.168972	333447.765414	26.032726	6.551187	136.224096	143.333366	
SCar	sveh331	65.00	480148041	2.10	117.00	549454264#1	52.00	830.13	1694.584382	157451.885687	11.487026	2.819509	62.042648	67.681419	
SCar	sveh27	6.00	367461723	0.80	119.00	-34774629#0	113.00	1424.74	3061.024289	275568.628724	20.379453	4.363468	107.358234	118.455142	
SCar	sveh218	41.00	256605510	0.40	119.00	304693638	78.00	896.35	2532.594745	199178.530555	16.217679	3.374876	79.636069	85.618187	
SCar	sveh343	66.00	480148041	1.40	120.00	549454264#1	54.00	830.13	2017.040202	176822.033508	13.423829	3.234288	70.475451	76.007723	
SCar	sveh97	19.00	480148041	0.60	123.00	367461722	104.00	1717.30	1791.254684	240807.684622	13.700857	3.784169	89.546540	103.512584	
SCar	sveh44	10.00	100	0.90	124.00	36928561	114.00	1274.75	2337.150716	213987.503227	15.537847	2.953636	81.428075	91.984593	
SCar	sveh30	7.00	549454263#0	0.90	125.00	367461722	118.00	1244.94	7720.832680	337347.540019	43.070214	6.586644	139.489281	145.012727	
SCar	sveh362	69.00	480148041	0.90	127.00	549454264#1	58.00	830.13	1901.812012	165593.431311	12.594378	2.901335	65.874314	71.181193	
SCar	sveh64	14.00	367461723	0.60	128.00	-34774629#0	114.00	1424.74	2872.951631	261024.582586	19.173504	4.167121	101.536795	112.203240	
SCar	sveh384	71.00	480148041	0.10	129.00	549454264#1	58.00	830.13	2278.432032	179135.340826	14.674208	3.402900	72.983991	77.002036	
SCar	sveh71	16.00	367461723	1.90	130.00	-34774629#0	114.00	1424.74	3514.067432	288650.722208	22.808209	4.904012	114.876627	124.078301	
SCar	sveh5	2.00	106586101#0	0.30	140.00	453763721	138.00	2210.72	3998.219012	381639.357703	27.270169	6.636454	148.070853	164.049744	
SCar	sveh167	33.00	367461723	2.20	140.00	-34774629#0	107.00	1424.74	3088.525504	289830.527421	20.877529	4.723712	113.229536	124.585462	
SCar	sveh337	67.00	256605510	3.20	142.00	304693638	75.00	896.35	2767.789548	207801.277284	17.525700	3.726697	84.520841	89.324513	
SCar	sveh416	86.00	480148041	10.30	142.00	549454264#1	56.00	830.13	2057.549301	177091.612738	13.561463	3.184001	70.967654	76.123636	
SCar	sveh12	3.00	479198389	0.40	143.00	-172963174#2	140.00	1417.90	4318.681728	312995.981447	26.921651	4.960232	123.869041	134.544072	
SCar	sveh85	18.00	367461723	1.80	146.00	35006698	128.00	2105.38	3679.797013	357751.031952	25.289097	6.302195	139.141445	153.781058	
SCar	sveh126	24.00	367461723	1.00	146.00	35006698	122.00	2105.38	3534.083241	379844.613221	25.113273	6.525301	145.172538	163.278176	
SCar	sveh81	16.00	549454263#0	0.50	148.00	367461722	132.00	1244.94	7999.479742	351442.426991	44.750458	6.802990	145.376190	151.071602	
SCar	sveh143	27.00	367461723	1.10	148.00	35006698	121.00	2105.38	3980.529276	370930.153113	27.052418	6.830561	145.841101	159.445897	
SCar	sveh195	38.00	480148041	0.90	149.00	367461722	111.00	1717.30	1557.058963	223598.238840	12.217492	3.245019	82.260403	96.115243	
SCar	sveh66	15.00	367461723	1.40	150.00	35006698	135.00	2105.38	3122.757210	353032.841619	22.369956	5.738793	134.020201	151.753201	
SCar	sveh125	23.00	106586101#0	0.20	153.00	453763721	130.00	2210.72	3585.732049	369867.773601	25.146275	6.532270	142.920935	158.989390	
SCar	sveh161	31.00	367461723	1.00	153.00	35006698	122.00	2105.38	3887.229064	387257.157171	26.995841	6.949647	150.544274	166.464232	
SCar	sveh15	3.00	367461723	0.00	155.00	304693638	152.00	2771.64	4112.927289	464109.395513	29.802803	8.161629	177.568568	199.499471	
SCar	sveh139	26.00	367461723	0.70	155.00	35006698	129.00	2105.38	2957.286050	335866.159431	21.190232	5.496253	127.099516	144.373994	
SCar	sveh348	66.00	479198389	0.60	163.00	479198374	97.00	1042.02	1959.666236	164087.396963	12.699651	2.359382	63.308207	70.534526	
SCar	sveh351	66.00	100	0.50	165.00	gneE29	99.00	1040.32	2559.441030	196502.797858	16.201460	3.006674	77.232291	84.468473	
SCar	sveh308	60.00	34774629#0	0.50	167.00	-256605510	107.00	952.10	6793.382310	294498.849310	37.866324	5.729022	122.382026	126.593732	
SCar	sveh146	29.00	367461723	2.10	168.00	35006698	139.00	2105.38	4046.037400	380789.505947	27.411184	6.532103	148.752460	163.684448	
SCar	sveh7	3.00	479127834	0.80	170.00	447313062	167.00	3287.47	4240.949063	499568.382455	31.287642	8.892272	188.804960	214.741662	
SCar	sveh318	62.00	480148041	1.10	170.00	367461722	108.00	1717.30	2898.066153	302414.334563	20.226750	5.132710	116.753896	129.994351	
SCar	sveh28	6.00	479127834	0.80	171.00	447313062	165.00	3287.47	4695.126291	528352.217538	34.128937	9.634525	201.593133	227.114314	
SCar	sveh83	17.00	367461723	1.30	172.00	304693638	155.00	2771.92	4129.985889	462688.716669	29.849202	7.999002	176.910982	198.888949	
SCar	sveh31	7.00	479127834	0.70	173.00	447313062	166.00	3287.47	4679.288888	519759.848031	33.869919	9.499489	198.958216	223.420820	
SCar	sveh200	38.00	34774629#0	0.20	173.00	367461722	135.00	1669.12	3929.451633	332990.273812	25.693479	5.437572	130.859033	143.138184	
SCar	sveh116	23.00	367461723	1.20	174.00	304693638	151.00	2771.92	5787.510293	555338.639729	39.747790	10.454572	218.993043	238.714250	
SCar	sveh148	30.00	367461723	3.00	175.00	35006698	145.00	2105.38	4874.555576	421759.934407	32.187060	7.281742	163.904647	181.296200	
SCar	sveh151	28.00	34774629#0	0.20	175.00	35006698	147.00	2582.05	4381.216022	433424.401784	30.388500	7.751993	167.304249	186.309607	
SCar	sveh342	68.00	34774629#0	3.40	175.00	-256605510	107.00	952.10	6184.783864	292270.452783	35.039908	5.377495	119.898947	125.635787	
SCar	sveh53	11.00	479127834	0.30	176.00	447313062	165.00	3287.47	4599.823756	510637.959305	33.261840	9.362476	195.354392	219.499722	
SCar	sveh259	50.00	480148041	0.90	176.00	367461722	126.00	1717.30	2313.747663	259691.993252	16.413125	3.779408	97.764596	111.630577	
SCar	sveh373	70.00	480148041	0.40	176.00	367461722	106.00	1717.30	2753.402800	289161.939512	19.372873	4.979103	111.704089	124.297675	
SCar	sveh409	75.00	34774629#0	0.50	177.00	-256605510	102.00	952.10	5898.450067	299758.524614	33.948988	5.683118	124.463050	128.853940	
SCar	sveh91	18.00	549454263#0	0.70	178.00	367461722	160.00	1244.94	8149.991789	348108.700847	45.272538	6.400404	143.111396	149.639137	
SCar	sveh35	8.00	256605510	0.80	179.00	35006698	171.00	3165.98	5265.946629	519756.270828	36.526260	9.527462	201.057421	223.419547	
SCar	sveh168	31.00	34774629#0	0.10	181.00	35006698	150.00	2582.05	4751.706731	466436.506135	32.588423	8.405986	181.219501	200.499824	
SCar	sveh188	36.00	106586101#0	0.90	181.00	453763721	145.00	2210.72	4204.956083	388473.292586	28.382337	6.740175	151.397795	166.987411	
SCar	sveh1	1.00	256605510	0.00	182.00	453763721	181.00	2985.30	5356.555593	511534.119243	36.601632	9.119094	199.010155	219.885462	
SCar	sveh417	77.00	34774629#0	0.90	183.00	-256605510	106.00	952.10	5776.547923	293573.954452	33.213229	5.410583	120.904879	126.195681	
SCar	sveh169	34.00	367461723	2.40	184.00	35006698	150.00	2105.38	5187.629276	409770.452451	33.211907	7.243938	162.645963	176.142313	
SCar	sveh202	41.00	367461723	3.10	184.00	35006698	143.00	2105.38	5914.096054	457183.099093	37.873816	8.495378	183.116084	196.522538	
SCar	sveh256	48.00	106586101#0	0.20	184.00	453763721	136.00	2210.72	4513.603792	433779.763855	30.965198	7.769705	169.153126	186.462282	
SCar	sveh115	22.00	367461723	0.20	185.00	304693638	163.00	2771.64	3770.883704	437507.255133	27.456502	7.392585	166.914072	188.064625	
SCar	sveh507	92.00	34774629#0	0.90	185.00	-256605510	93.00	952.10	4450.452139	281346.211166	26.893837	5.121881	115.611686	120.938614	
SCar	sveh18	4.00	256605510	0.20	186.00	35006698	182.00	3165.98	4600.498548	477285.928797	32.359019	8.421235	184.319630	205.163587	
SCar	sveh205	43.00	367461723	4.90	186.00	35006698	143.00	2105.38	6573.211117	481359.247458	41.453950	9.152469	195.230652	206.914644	
SCar	sveh4	2.00	480148041	0.70	187.00	304693638	185.00	3819.56	4602.278901	563354.024464	34.538344	10.131581	211.466408	242.160111	
SCar	sveh77	15.00	479127834	0.20	187.00	447313062	172.00	3287.47	4568.448744	538029.196816	33.712789	9.535778	203.817556	231.274204	
SCar	sveh193	37.00	34774629#0	0.60	187.00	35006698	150.00	2582.05	5540.808711	483867.884600	36.902238	9.099403	191.415428	207.992674	
SCar	sveh179	38.00	367461723	4.50	188.00	35006698	150.00	2105.38	5796.653424	472027.568884	37.628623	8.558883	188.364290	202.903496	
SCar	sveh210	45.00	367461723	6.40	189.00	35006698	144.00	2105.38	6825.818823	498890.303136	43.071658	9.651738	203.776682	214.450179	
SCar	sveh13	3.00	96151239#5	0.20	190.00	238872916#7	187.00	1911.84	9814.203024	471697.763397	55.668732	8.346377	190.203541	202.765133	
SCar	sveh244	51.00	367461723	4.60	190.00	35006698	139.00	2105.38	5037.924101	417023.882631	32.926708	7.606070	164.484217	179.259971	
SCar	sveh466	114.00	480148041	29.70	190.00	549454264#1	76.00	830.13	4660.540756	256496.268460	27.348464	5.014722	105.635147	110.256892	
