link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-13797599#8	309.828552009904	2.1498730375752	0.862976883804671	0.385532981489177	0.0811979168016537	0.0542207909163203	0.000516045370118889	0	0	0	0	0.000516045370118889	0.000516045370118889	40	0	12.99	3.30484988452656	42.93
-13797599#9	415.767824383883	2.897585696664	1.15312427617176	0.518256850217003	0.108641480731375	0.0723857405415594	0.000693298695666133	0	0	0	0	0.000693298695666133	0.000693298695666133	40	0	13.05	4.4183908045977	57.66
-13797704#0	493.098889198091	2.822541501486	1.54869988988095	0.565119713852048	0.142476604985734	0.106040081374259	0.000771241333863516	0	0	0	0	0.000771241333863516	0.000771241333863516	41	0	9.5	6.14631578947368	58.39
-13797704#1	188.214123911221	1.22292169605312	0.55380034315485	0.228135493869767	0.0514133991680136	0.0355143290275781	0.000300918337161229	0	0	0.02492	0	0.000300918337161229	0.0252209183371612	41	0	12.04	2.06976744186047	24.92
-13798697	894.219127093429	6.0559464150801	2.54675493654707	1.1020034235255	0.238126650622053	0.16099776914063	0.00179403789812511	0	0	0	0.319764555411458	0.00179403789812511	0.321558593309583	33	0	12.65	11.801581027668	149.29
-14326205#0	123.196222364478	0.8009905012176	0.362323123622055	0.149366173482588	0.0336399519686712	0.0232291929767676	0.000504803574357097	0	0	0	0	0.000504803574357097	0.000504803574357097	16	0	12.05	3.46970954356846	41.81
-14326205#1	156.695699080819	1.068722995248	0.443506089965728	0.193650472484736	0.0415369742891702	0.0279817109844128	0.000649557325479456	0.000114055860839825	0.0204623287671233	0	0	0.000763613186319281	0.0212259419534426	16	0	12.75	4.24	54.06
-14326205#2	49.0479614718182	0.3359581157856	0.13828890223713	0.0607185362781818	0.0129653623599701	0.00871515598892368	0.000203543762535984	0	0	0	0	0.000203543762535984	0.000203543762535984	16	0	12.81	1.3224043715847	16.94
-14326205#3	56.7968861974991	0.3901501037616	0.159716482346276	0.0703914005955896	0.0149854457023609	0.010058318638569	0.000235875454298184	0	0	0	0	0.000235875454298184	0.000235875454298184	16	0	12.85	1.52762645914397	19.63
-14326205#4	428.990220217219	2.8850037910137	1.22907502090364	0.527199896845464	0.114749387608818	0.0778615096868238	0.000977668321937728	0	0	0	0	0.000977668321937728	0.000977668321937728	29	0	12.55	6.4804780876494	81.33
-14327505#0	323.628958873689	2.0072384564118	0.933402579668423	0.344201784571184	0.0661390042152334	0.0539064274937164	0.000257165991370622	0	0	0.022296	0	0.000257165991370622	0.0225531659913706	86	45	0.91	10.2087912087912	9.29
-14327505#1	2299.46296832188	13.1124940069565	7.08214469395111	2.49017384643356	0.585654888268146	0.472359405531096	0.00174358043663697	0	0	0	0	0.00174358043663697	0.00174358043663697	87	45	4.28	20.3224299065421	86.98
-14327505#2	1132.7757995957	6.46770412460592	3.4861039300634	1.22626554062553	0.287631138059152	0.232092874281996	0.00178029554404236	0	0	0	0	0.00178029554404236	0.00178029554404236	42	16	4.22	20.9265402843602	88.31
-14327505#3	151.473348233292	0.8939474673696	0.47042771517896	0.176265599453519	0.043387915588915	0.0316285641478403	0.000232094516962888	0	0	0.043872	0	0.000232094516962888	0.0441040945169629	42	16	10.3	1.7747572815534	18.28
-14328611	292.693607261286	1.61699055674724	0.920799678191933	0.322314174290275	0.081420481914453	0.0641625994822492	0.000259401713014249	0	0	0.037872	0	0.000259401713014249	0.0381314017130142	73	28	6.47	2.43894899536321	15.78
-14333888#0	40.1768184389832	0.222123022443	0.127032240713579	0.044858352539736	0.0115052261913527	0.00888480630624152	0.000430065807588936	0	0	0	0	0.000430065807588936	0.000430065807588936	6	0	7.75	3.74322580645161	29.01
-14333888#1	21.6143108814874	0.12425909070456	0.0677906529047786	0.0248290091915463	0.00623994935282716	0.00462931906296047	0.000231096601473357	2.47279206096854e-05	0.0275114155251142	0	0	0.000255824522083042	0.0277672400471972	6	0	9.63	1.82969885773624	17.62
-14333888#2	24.496869265083	0.13986634597488	0.0769987334024311	0.0280354054177843	0.0070811064867755	0.00528042710878368	0.00026176710719463	0	0	0	0	0.00026176710719463	0.00026176710719463	6	0	9.42	2.09447983014862	19.73
-14333888#3	44.6206576410354	0.251525201832	0.140740948086239	0.0506760236420901	0.0129087732434682	0.00972933842888959	0.000476524503559352	0	0	0	0	0.000476524503559352	0.000476524503559352	6	0	8.96	3.90066964285714	34.95
-14333980	110.291591802749	0.6146192988672	0.34864035356649	0.124208412149899	0.0318264843601615	0.0242748846928568	0.00176753688055651	0	0	0	0	0.00176753688055651	0.00176753688055651	4	0	8.4	14.8761904761905	124.96
-156211618#0	10125.8881116342	55.8466164293918	31.9801916591386	11.2422864616785	2.87435717508475	2.23801841840863	0.00208912182247572	0	0	0.325848	0	0.00208912182247572	0.327937121822476	312	79	7.27	18.6753782668501	135.77
-156211618#1	1119.79257555019	7.46849457139968	3.2302042638575	1.37160093974592	0.301095005248501	0.205178684496365	0.00023672262339932	2.17269548963449e-05	0.00396799262381454	0.047232	0	0.000258449578295665	0.0514584422021102	312	79	12.43	1.58326629123089	19.68
-156211618#2	56.9132018843382	0.379324101312	0.164265095526591	0.0696922007748256	0.0153096191569646	0.0104363089395296	1.20293652664262e-05	0	0	0.0024	0	1.20293652664262e-05	0.00241202936526643	312	79	12.42	0.0805152979066023	1
-157156090#0	98.2070409672005	0.56733864236784	0.299982736984188	0.105974902997729	0.0242404246473235	0.0196295367250134	0.000465554412158204	0	0	0	0	0.000465554412158204	0.000465554412158204	14	0	3.69	5.95121951219512	21.96
-167487356#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.16
-167487356#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.81
-167487356#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.77
-167487356#3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.3
-167487356#4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.38
-167487356#5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.81
-167487370	214.71590774982	1.26886544081514	0.666468512468087	0.250013086550231	0.0614730899464324	0.0447750590356933	9.80180632072864e-05	0	0	0.018552	0	9.80180632072864e-05	0.0186500180632073	141	45	10.33	0.748305905130687	7.73
-167487441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.25
-167487519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.94
-172963174#2	1020.815435076	5.70585089905038	3.22542281215653	1.15244961351746	0.294919817177495	0.224158940175805	0.00152143710178392	0	0	0	0	0.00152143710178392	0.00152143710178392	43	0	8.57	12.6966161026838	108.81
-172963174#3	817.892168631418	4.5932604187512	2.5819292114127	0.926561481291437	0.23653771902142	0.178907068593949	0.00121878661987997	4.21109255968745e-05	0.0024530105129022	0	0	0.00126089754547684	0.00371390805837904	43	0	8.8	10.0556818181818	88.49
-172963174#4	56.5871809918484	0.3203769550875	0.178290317038811	0.0644436419506734	0.0163707741067773	0.0122912843212742	8.4333416965044e-05	0	0	0.015	0	8.4333416965044e-05	0.015084333416965	43	0	9.13	0.684556407447974	6.25
-172963174#5	397.601412706823	2.2344190948434	1.25497162330105	0.45063767403836	0.114997889734549	0.0869227583222114	0.000592483524295955	0	0	0	0	0.000592483524295955	0.000592483524295955	43	0	8.83	4.88108720271801	43.1
-193149514	531.447842123155	3.037192983903	1.66997154166708	0.608533687948697	0.153598672438077	0.114456673054198	0.000524243739148567	0	0	0.03958	0	0.000524243739148567	0.0401042437391486	65	0	9.45	4.18835978835979	39.58
-198514517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.17
-200072875	1828.21678300027	10.6508120470718	5.70710353968706	2.11435502894348	0.52595736549399	0.386621062846306	0.000554013987709981	8.97871981235038e-05	0.00792625140001723	0.103248	0	0.000643801185833485	0.111818052585851	212	35	9.99	4.30630630630631	43.02
-207634492	846.173146003348	5.23010174567328	2.44909918380444	0.900544204466644	0.174730190880799	0.142437682210518	0.000409561688387558	0	0	0.035952	0	0.000409561688387558	0.0363615616883876	141	45	1.04	14.4038461538462	14.98
-207634505#0	1671.43548573967	9.964892999385	4.99344212987091	1.79113171850861	0.381409676156722	0.310579500383221	0.000381136981850346	1.17914812830716e-05	0.00166860150143178	0.03816	0	0.000392928463133417	0.0402215299645652	295	35	2.41	6.59751037344398	15.9
-207634505#1	1545.20205031547	9.062119730412	4.67233557323251	1.66155396203641	0.367599316569099	0.298650886445654	0.00034993388437448	1.10756602453785e-05	0.00134084049222196	0.037296	0	0.000361009544619858	0.0389978500368418	295	35	3.06	5.07843137254902	15.54
-207634523#0	7078.67302731034	41.3713751507004	22.0703055114296	8.1993621961791	2.03441145726045	1.49229392805278	0.00152154197802478	0	0	0.28464	0	0.00152154197802478	0.286161541978025	299	35	10.07	11.7775571002979	118.6
-207634523#1	813.270006036955	4.7305141368654	2.54025624458776	0.939830626621445	0.234078780737184	0.17224735868389	0.000174706941351644	0	0	0.032496	0	0.000174706941351644	0.0326707069413517	299	35	9.95	1.3608040201005	13.54
-211090188#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.5
-211641909#0	1383.90205843007	9.4791529358283	3.90186035711108	1.71319061626072	0.365821353626773	0.245900582831369	0.000585278434068935	0	0	0.116904	0	0.000585278434068935	0.117489278434069	157	0	12.81	3.80249804839969	48.71
-211641909#1	556.385083461781	3.4545954151524	1.68528598793326	0.661979635942174	0.155816402379621	0.110281270300615	0.000230068071090778	0	0	0.045048	0	0.000230068071090778	0.0452780680710908	157	0	11.3	1.66106194690265	18.77
-211641911	4107.41917431173	28.2959067116303	11.5195046997264	5.09636558927287	1.08165395944898	0.724949236220708	0.00173969034852454	0	0	0	0	0.00173969034852454	0.00173969034852454	157	0	12.89	11.2311869666408	144.77
-212361874#0	44.5919413414266	0.2464113887751	0.140248355557808	0.0490862854700651	0.012389687603575	0.00976893040289706	0.000577158284261415	0	0	0	0	0.000577158284261415	0.000577158284261415	5	0	6.43	5.44167962674961	34.99
-212361874#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.86
-212706762#0	645.067409481471	3.5569372378176	2.03600599959609	0.714857128747088	0.182429723402731	0.142430595521632	0.000123697845342034	0	0	0.019032	0	0.000123697845342034	0.019155697845342	336	79	7.1	1.1169014084507	7.93
-212706762#1	2867.86928148873	16.126779192888	8.90983713203821	3.12082329786294	0.756031608007028	0.605982440793001	0.000555750802154923	0	0	0.071232	0	0.000555750802154923	0.0717877508021549	338	80	5.01	5.92415169660679	29.68
-212710688	1838.33810305588	11.9290540023715	5.41412554284961	2.22709120048851	0.502551064619952	0.347379457137883	0.00261890084711642	0	0	0	0.157949337434119	0.00261890084711642	0.160568238281236	46	0	12.02	18.0382695507488	216.82
-212710692	1292.88046005094	9.06321515561616	3.56485172456595	1.61533863949324	0.336491544114275	0.22353298011517	0.00210661310687497	0	0	0	0.219409473330263	0.00210661310687497	0.221516086437138	41	0	13.13	13.3373952779893	175.12
-212710702	433.646326625748	3.0465984880032	1.19300924724745	0.542277563028666	0.112692773437799	0.0747787826403316	0.000707001422076762	9.04899633619207e-05	0.0184430337454059	0	0	0.000797491385438683	0.0192405251308446	41	0	13.16	4.46504559270517	58.76
-212711374#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6
-212711374#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.72
-212711374#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62.12
-216891254#0	1422.54736056157	9.6407415752256	4.04897417941891	1.7535875901064	0.378646782130511	0.255911265447627	0.000560707111483001	0	0	0.111984	0	0.000560707111483001	0.112544707111483	168	43	12.66	3.68562401263823	46.66
-216891254#1	2369.44442384492	16.0016642051616	6.76453877639538	2.91675331197622	0.632108864642434	0.427985866445259	0.000933109744058347	0	0	0.186336	0	0.000933109744058347	0.187269109744058	168	43	12.61	6.15701823949247	77.64
-216891254#2	3546.6559533735	24.1552062248796	10.0510380909781	4.38061562677444	0.941017798068155	0.634384634193486	0.00139141107894612	0	0	0	0	0.00139141107894612	0.00139141107894612	169	43	12.73	9.09662215239591	115.8
-217344337#0	944.864561144977	6.4673099400936	2.66574273792492	1.1693552677291	0.249883025285654	0.168029558597263	0.000371158830453812	0	0	0.074136	0	0.000371158830453812	0.0745071588304538	169	43	12.8	2.41328125	30.89
-217344337#1	2562.86127443969	17.4796678765995	7.25383395727462	3.16728091210788	0.679364548533052	0.457659296937867	0.0010058165689213	0	0	0.08371	0	0.0010058165689213	0.0847158165689213	169	43	12.75	6.56549019607843	83.71
-217344337#2	345.272928239278	2.2478162829174	1.01450385088856	0.418838135822242	0.0942077610765903	0.0650081659299073	0.000133983367462295	0	0	0.02664	0	0.000133983367462295	0.0267739833674623	169	43	12.07	0.91963545981773	11.1
-217344337#3	792.084332602505	5.2973985690912	2.27978453811038	0.971267696056987	0.212613517222061	0.144678121300809	0.000343935148242327	0	0	0.06864	0	0.000343935148242327	0.0689839351482423	152	43	12.47	2.2935044105854	28.6
-217344337#4	435.732491890851	2.5715544161376	1.35324559059556	0.507050578734323	0.12481089774546	0.0909836167999821	0.000184482129730348	0	0	0.034872	0	0.000184482129730348	0.0350564821297304	152	43	10.3	1.41067961165049	14.53
-217344337#5	355.943573017216	1.9652299032	1.12504105378922	0.396459459981056	0.101589627268583	0.0787282534924689	0.00015052872338304	0	0	0.024	0	0.00015052872338304	0.024150528723383	152	43	7.55	1.32450331125828	10
-219536349#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.44
-219536349#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.44
-220232893#0	507.073646719662	3.0920080766442	1.48667333725261	0.541025755126675	0.108888269451975	0.0887818507564668	0.000351243696458675	0	0	0.032376	0	0.000351243696458675	0.0327272436964587	98	14	1.55	8.70322580645161	13.49
-220232893#1	424.214380989293	2.5040763742848	1.27681471924124	0.455521870823348	0.0992958310339009	0.0807559749938048	0.000289985607290289	0	0	0.030144	0	0.000289985607290289	0.0304339856072903	98	14	2.8	4.48571428571429	12.56
-220232893#2	438.000469081701	2.4852721377834	1.37920151726369	0.499474469075717	0.126698746929855	0.0949506207975432	0.000286444087042324	0	0	0.051192	0	0.000286444087042324	0.0514784440870423	98	14	9.21	2.31596091205212	21.33
-220232893#3	830.721900129258	5.63385043635456	2.36302258177871	1.02432611135638	0.221017270639351	0.149322243543289	0.000561416798319644	0	0	0.04672	0	0.000561416798319644	0.0472814167983196	98	14	12.67	3.68745067087609	46.72
-220232893#4	229.949711418171	1.5627956313648	0.652890074504987	0.283779942928853	0.0610955588482235	0.041232219959404	0.000155487467274452	0	0	0.031056	0	0.000155487467274452	0.0312114874672745	98	14	12.7	1.01889763779528	12.94
-223556668#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181.23
-223556668#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.24
-223556668#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.86
-223556668#3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07
-223556668#4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.43
-224637998	207.606851054249	1.25400499173042	0.638032007901423	0.244122499585571	0.0589085665554009	0.0423468392496677	0.000462398764414782	0	0	0	0	0.000462398764414782	0.000462398764414782	29	0	10.79	3.44114921223355	37.13
-224646232#0	1201.09846930116	7.709364974595	3.56411485143619	1.44868673370917	0.330414930229764	0.229710462656982	0.00157035996155363	0	0	0	0	0.00157035996155363	0.00157035996155363	50	11	11.85	10.9426160337553	129.67
-224646232#1	145.45505491382	0.994885621611	0.410637507650216	0.179962670241813	0.0384856700809937	0.0258884649784007	0.000193088348337357	5.43491758105594e-06	0.00105479452054795	0.038568	0	0.000198523265918413	0.0398213177864664	50	11	12.79	1.25645035183737	16.07
-224646232#2	1055.00339478114	7.231499702616	2.97260174230879	1.30640463698571	0.278749180031207	0.187303360851437	0.00140126649180657	0	0	0	0	0.00140126649180657	0.00140126649180657	50	11	12.82	9.09672386895476	116.62
