junction	edge
1207560212	:1207560212_3
1207560212	:1207560212_2
1207560213	:1207560213_0
1207560213	:1207560213_6
1207560213	:1207560213_2
1207560213	:1207560213_3
1207560213	:1207560213_4
1207560213	:1207560213_5
1209790928	:1209790928_0
1209790928	:1209790928_0
1209790928	:1209790928_0
1209790951	:1209790951_0
1209790951	:1209790951_1
1209790951	:1209790951_2
1209790954	:1209790954_0
1209790954	:1209790954_0
1209790969	:1209790969_0
1209790969	:1209790969_0
1216466342	:1216466342_0
1216466342	:1216466342_0
1216466345	:1216466345_0
1216466345	:1216466345_1
1216466360	:1216466360_0
1216466360	:1216466360_1
1216466360	:1216466360_1
1216466378	:1216466378_0
1216466378	:1216466378_0
1216466378	:1216466378_0
1216466391	:1216466391_0
1216466391	:1216466391_0
1216466439	:1216466439_0
1216466439	:1216466439_2
1216466444	:1216466444_0
1216466444	:1216466444_0
1216466444	:1216466444_0
1216466457	:1216466457_0
1216466457	:1216466457_1
1216466461	:1216466461_0
1216466461	:1216466461_0
1216466461	:1216466461_0
1216466464	:1216466464_0
1216466464	:1216466464_0
1216466464	:1216466464_0
1216789877	:1216789877_0
1216789877	:1216789877_1
1216789883	:1216789883_0
1216789883	:1216789883_6
1216789883	:1216789883_7
1216789883	:1216789883_3
1216789883	:1216789883_4
1216789883	:1216789883_8
1216789894	:1216789894_0
1216789894	:1216789894_4
1216789894	:1216789894_2
1216789894	:1216789894_5
1223806715	:1223806715_0
1223806715	:1223806715_1
1223806734	:1223806734_0
122432550	:122432550_0
122432550	:122432550_1
122432550	:122432550_1
122432550	:122432550_1
122432556	:122432556_0
122432556	:122432556_0
122432556	:122432556_0
122432560	:122432560_0
122432560	:122432560_0
122432560	:122432560_2
122432561	:122432561_0
122432561	:122432561_4
122432561	:122432561_2
122432561	:122432561_5
122432566	:122432566_0
122432566	:122432566_4
122432566	:122432566_2
122432566	:122432566_5
122434048	:122434048_0
122434048	:122434048_0
122439068	:122439068_0
122439068	:122439068_1
122439068	:122439068_1
122439068	:122439068_1
122439068	:122439068_4
122439068	:122439068_4
122439068	:122439068_4
122439068	:122439068_7
122439068	:122439068_8
122439070	:122439070_0
122439070	:122439070_0
122439070	:122439070_0
122452407	:122452407_0
122452407	:122452407_0
122452407	:122452407_2
122452407	:122452407_2
122452407	:122452407_6
122452407	:122452407_5
122452409	:122452409_0
122452409	:122452409_0
122452409	:122452409_0
122452412	:122452412_0
122452412	:122452412_1
122452412	:122452412_1
122452412	:122452412_3
122452412	:122452412_3
122452412	:122452412_5
122452414	:122452414_0
122452414	:122452414_1
122452414	:122452414_2
122452414	:122452414_3
122452414	:122452414_3
122452414	:122452414_5
122452414	:122452414_6
122452414	:122452414_7
122452417	:122452417_0
122452417	:122452417_0
122452417	:122452417_0
122452424	:122452424_0
122452424	:122452424_1
122452424	:122452424_1
122452424	:122452424_3
122452424	:122452424_4
122452425	:122452425_0
122452425	:122452425_1
122452425	:122452425_1
122452425	:122452425_3
122452425	:122452425_3
122452425	:122452425_5
122452427	:122452427_0
122452427	:122452427_1
122452427	:122452427_2
122452427	:122452427_3
122452427	:122452427_3
122452427	:122452427_5
122452427	:122452427_6
122452427	:122452427_8
122452429	:122452429_0
122452429	:122452429_0
122452434	:122452434_0
122452434	:122452434_1
122452434	:122452434_2
122452434	:122452434_3
122452434	:122452434_3
122452434	:122452434_5
122452434	:122452434_6
122452434	:122452434_8
122480050	:122480050_0
122480050	:122480050_1
122480050	:122480050_1
122480050	:122480050_1
1225943158	:1225943158_0
1225943158	:1225943158_1
1225943158	:1225943158_2
1225943158	:1225943158_3
1239645074	:1239645074_0
1239645074	:1239645074_0
1239645077	:1239645077_0
1239645077	:1239645077_0
1239645077	:1239645077_2
1239645077	:1239645077_3
1239645082	:1239645082_0
1239645082	:1239645082_0
124384923	:124384923_0
124384923	:124384923_0
124384924	:124384924_0
124384924	:124384924_0
124384925	:124384925_0
1243857873	:1243857873_0
1243857873	:1243857873_0
1243857881	:1243857881_0
1243857883	:1243857883_0
1243857937	:1243857937_0
1243857937	:1243857937_0
1243857937	:1243857937_0
1243857937	:1243857937_0
1243857939	:1243857939_0
1243857939	:1243857939_1
1243857939	:1243857939_1
1243857939	:1243857939_1
1243857944	:1243857944_0
1243857944	:1243857944_4
1243857944	:1243857944_2
1243857944	:1243857944_5
1243857957	:1243857957_0
1243857957	:1243857957_1
1243857957	:1243857957_2
1243857964	:1243857964_0
1243857964	:1243857964_1
1243857985	:1243857985_0
1243857985	:1243857985_0
1243857985	:1243857985_2
1243857985	:1243857985_2
1243857999	:1243857999_0
1243857999	:1243857999_1
1243857999	:1243857999_1
1252543205	:1252543205_0
1252543215	:1252543215_0
1252543215	:1252543215_1
1252543215	:1252543215_2
1252543215	:1252543215_3
1252543215	:1252543215_4
1252543227	:1252543227_0
1252543227	:1252543227_1
1252543236	:1252543236_0
126398059	:126398059_0
126398059	:126398059_0
126398059	:126398059_0
126398316	:126398316_0
126398316	:126398316_0
126398316	:126398316_0
1264279295	:1264279295_0
1264279295	:1264279295_0
1264279310	:1264279310_0
1264279310	:1264279310_0
1264279315	:1264279315_0
1264279315	:1264279315_0
1264279327	:1264279327_0
1264279327	:1264279327_0
1264279362	:1264279362_0
1264279362	:1264279362_1
1264279362	:1264279362_2
1264279362	:1264279362_2
1264279391	:1264279391_0
1264279391	:1264279391_0
1264279419	:1264279419_0
1264279419	:1264279419_0
1264279438	:1264279438_0
1264279438	:1264279438_0
1264279444	:1264279444_0
1264279444	:1264279444_1
1264279444	:1264279444_1
1264279444	:1264279444_3
1264279478	:1264279478_0
1264279478	:1264279478_0
1264279500	:1264279500_0
1264279500	:1264279500_0
126580884	:126580884_0
126580884	:126580884_0
126580884	:126580884_0
126581622	:126581622_0
126581622	:126581622_0
126581622	:126581622_0
126592365	:126592365_0
126592365	:126592365_4
126592365	:126592365_2
126592365	:126592365_3
126597343	:126597343_0
126597343	:126597343_0
126597343	:126597343_2
126597343	:126597343_3
126597726	:126597726_0
126597726	:126597726_0
126598827	:126598827_0
126598827	:126598827_1
126598827	:126598827_1
126598827	:126598827_1
126598827	:126598827_4
126598827	:126598827_4
126598827	:126598827_6
126598827	:126598827_7
126600950	:126600950_0
126600950	:126600950_1
126600950	:126600950_2
126600950	:126600950_3
126600950	:126600950_3
126600950	:126600950_5
126600950	:126600950_6
126600950	:126600950_7
126600959	:126600959_0
126600959	:126600959_1
126600959	:126600959_2
126600959	:126600959_3
126600959	:126600959_4
126600959	:126600959_5
126600959	:126600959_5
126600959	:126600959_7
126604783	:126604783_0
126604783	:126604783_1
126604785	:126604785_0
126604785	:126604785_6
126604785	:126604785_2
126604785	:126604785_3
126604785	:126604785_4
126604785	:126604785_7
126604789	:126604789_0
126604789	:126604789_1
126604789	:126604789_2
126604789	:126604789_3
126604789	:126604789_4
126604789	:126604789_11
126604789	:126604789_6
126604789	:126604789_7
126604789	:126604789_8
126604789	:126604789_9
126604789	:126604789_10
126608577	:126608577_0
126608577	:126608577_1
126608577	:126608577_1
126617351	:126617351_0
126617351	:126617351_1
126617351	:126617351_1
126617351	:126617351_3
126617351	:126617351_3
126617352	:126617352_0
126617352	:126617352_0
126617354	:126617354_0
126617354	:126617354_8
126617354	:126617354_2
126617354	:126617354_3
126617354	:126617354_4
126617354	:126617354_5
126617354	:126617354_5
126617354	:126617354_7
126617427	:126617427_0
