vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh6	6.00	256605510	0.40	74.00	304693638	68.00	896.35	2518.517308	201407.025819	16.236500	3.685296	81.889196	86.575703	
SCar	sveh10	9.00	549454263#0	0.70	96.00	367461722	87.00	1244.94	3366.683631	285966.490899	22.096659	5.112257	114.049873	122.924118	
SCar	sveh33	17.00	480148041	0.60	100.00	549454264#1	83.00	830.13	4503.443356	192700.858652	25.027075	3.600775	77.665515	82.835116	
SCar	sveh12	9.00	480148041	0.00	101.00	367461722	92.00	1717.30	1881.896628	241741.431096	14.349432	4.123506	90.358919	103.913731	
SCar	sveh24	13.00	480148041	0.70	103.00	549454264#1	90.00	830.13	5359.912350	211111.694055	29.338717	3.954952	85.896157	90.749539	
SCar	sveh40	22.00	480148041	0.30	104.00	549454264#1	82.00	830.13	5163.180666	206231.629961	28.401070	3.971834	83.904937	88.651623	
SCar	sveh53	34.00	256605510	0.60	106.00	304693638	72.00	896.35	2492.813479	200970.101183	16.100478	3.517442	80.855122	86.388103	
SCar	sveh34	19.00	549454263#0	0.80	116.00	367461722	97.00	1244.94	3555.498269	269335.734465	22.504699	4.744854	108.011667	115.775629	
SCar	sveh174	74.00	480148041	0.50	123.00	549454264#1	49.00	830.13	1176.626805	119125.598332	8.179272	2.087921	46.419501	51.206685	
SCar	sveh27	15.00	367461723	0.30	130.00	35006698	115.00	2105.38	3322.493931	357213.925114	23.670868	6.404743	137.706498	153.549903	
SCar	sveh96	50.00	479198389	0.70	130.00	479198374	80.00	1042.02	1589.254186	182579.434619	11.433691	2.713709	69.594943	78.482999	
SCar	sveh54	34.00	549454263#0	0.50	132.00	367461722	98.00	1244.94	2743.950995	236972.993790	18.053159	3.915557	93.263673	101.864389	
SCar	sveh61	37.00	480148041	0.80	132.00	367461722	95.00	1717.30	1717.592713	244584.627393	13.600750	3.961296	89.796102	105.136075	
SCar	sveh103	52.00	479198389	0.40	136.00	479198374	84.00	1042.02	1543.948629	165383.147784	10.825980	2.367294	62.848102	71.091250	
SCar	sveh217	97.00	480148041	0.80	145.00	549454264#1	48.00	830.13	858.369734	97139.487101	6.211559	1.616025	37.009122	41.755932	
SCar	sveh71	41.00	549454263#0	0.30	146.00	367461722	105.00	1244.94	3683.321207	274827.753123	23.268129	4.787342	109.958928	118.136539	
SCar	sveh14	10.00	106586101#0	0.50	152.00	453763721	142.00	2210.72	3739.926267	379339.581597	26.049618	6.404423	144.991761	163.061369	
SCar	sveh37	21.00	367461723	0.50	157.00	35006698	136.00	2105.38	2932.465536	318586.285332	20.791646	5.193599	121.659861	136.946179	
SCar	sveh48	30.00	367461723	0.70	157.00	-34774629#0	127.00	1424.74	3600.527538	285126.073750	23.011589	4.472881	111.542427	122.563834	
SCar	sveh58	35.00	367461723	0.60	159.00	-34774629#0	124.00	1424.74	4652.706333	337806.358886	29.087500	5.914211	136.689832	145.208222	
SCar	sveh62	38.00	367461723	0.30	160.00	-34774629#0	122.00	1424.74	3517.216360	283183.958053	22.642050	4.567573	111.289800	121.728794	
SCar	sveh15	11.00	106586101#0	1.10	162.00	453763721	151.00	2210.72	4107.398666	397670.781524	28.059784	6.607430	153.136015	170.941268	
SCar	sveh18	11.00	480148041	0.00	170.00	-256605510	159.00	3126.73	3693.147565	435199.934788	27.304924	7.717388	164.118416	187.072674	
SCar	sveh4	4.00	479127834	0.70	171.00	447313062	167.00	3287.47	4220.603189	484938.551088	30.883749	8.706192	184.080975	208.452913	
SCar	sveh7	7.00	256605510	0.90	175.00	367461722	168.00	2253.05	4593.194549	425261.328923	30.881233	6.954182	165.205605	182.801358	
SCar	sveh35	19.00	96151239#5	0.00	180.00	238872916#7	161.00	1911.84	7619.635321	437066.843375	44.787404	7.960448	176.536591	187.877081	
SCar	sveh23	13.00	106586101#0	0.80	184.00	453763721	171.00	2210.72	4358.851141	396599.674562	28.749059	6.267486	152.633096	170.481293	
SCar	sveh11	9.00	-238872916#7	0.10	186.00	-96151239#5	177.00	1910.00	7312.280763	433640.643786	43.340983	7.246013	172.267923	186.404976	
SCar	sveh29	16.00	-238872916#7	0.30	188.00	-96151239#5	172.00	1910.00	8111.255085	457979.100518	47.594509	8.331044	186.646587	196.866367	
SCar	sveh113	54.00	-36928561	0.20	188.00	453763721	134.00	1427.76	3219.514066	258623.847354	20.636160	3.872955	100.416804	111.171829	
SCar	sveh65	40.00	367461723	0.70	191.00	549454264#1	151.00	2042.46	5160.664998	391450.792256	32.777036	6.808330	154.252364	168.267910	
SCar	sveh150	63.00	367461723	0.00	191.00	-34774629#0	128.00	1424.74	5600.124586	308147.027187	32.784419	5.614623	124.752019	132.459945	
SCar	sveh99	51.00	367461723	0.20	192.00	-34774629#0	141.00	1424.74	6265.699626	324228.892776	36.145896	5.725589	130.559723	139.373438	
SCar	sveh110	53.00	549454263#0	0.30	192.00	367461722	139.00	1244.94	8317.450979	365180.323021	46.411441	6.854095	150.439078	156.977237	
SCar	sveh66	40.00	480148041	0.60	193.00	-34774629#0	153.00	2472.66	4450.054304	423126.188701	30.375058	7.400773	161.430871	181.883348	
