vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh128	59.00	106586101#0	0.90	205.00	453763721	146.00	2210.72	3670.577746	352285.170645	25.085003	5.987495	136.001741	151.431866	
SCar	sveh153	64.00	34774629#0	0.30	205.00	367461722	141.00	1669.12	6396.251327	400872.346619	38.525661	7.032517	159.517733	172.318558	
SCar	sveh108	53.00	96151239#5	0.30	206.00	238872916#7	153.00	1911.84	4622.181881	408996.102619	30.526712	6.685144	160.911747	175.809598	
SCar	sveh211	90.00	549454263#0	0.40	206.00	367461722	116.00	1244.94	5459.242918	306260.080461	32.094629	5.724903	124.628637	131.648534	
SCar	sveh199	85.00	367461723	0.70	210.00	35006698	125.00	2105.38	3736.508173	380134.338199	26.065899	6.741754	147.467292	163.402478	
SCar	sveh164	68.00	106586101#0	0.20	211.00	453763721	143.00	2210.72	3878.256878	378021.914576	26.634251	6.572145	146.358495	162.494728	
SCar	sveh213	92.00	549454263#0	0.50	215.00	367461722	123.00	1244.94	5630.290920	310490.955395	33.016187	5.925342	127.451898	133.467081	
SCar	sveh72	42.00	479127834	0.90	216.00	447313062	174.00	3287.47	4690.518596	515398.521575	33.722041	9.196659	196.544311	221.546391	
SCar	sveh81	46.00	479127834	0.90	216.00	447313062	170.00	3287.47	4825.803090	530843.540731	34.825626	9.641791	202.709404	228.185338	
SCar	sveh177	75.00	480148041	0.70	216.00	-34774629#0	141.00	2472.66	3450.969260	370279.591886	24.566103	6.372606	140.696959	159.166690	
SCar	sveh2	3.00	479198389	0.90	217.00	367461722	214.00	3392.69	4875.870541	547634.175882	35.048350	8.914367	207.956913	235.403754	
SCar	sveh181	77.00	106586101#0	0.50	217.00	453763721	140.00	2210.72	4453.615023	404615.272039	29.929030	7.143413	157.808303	173.926077	
SCar	sveh97	50.00	479127834	0.30	218.00	447313062	168.00	3287.47	4673.712391	540398.151770	34.275589	9.707159	205.144951	232.292427	
SCar	sveh192	83.00	-224648421#0	0.70	218.00	-104688711#3	135.00	1199.99	3634.066043	224663.642085	21.684345	3.287201	88.083007	96.574419	
SCar	sveh101	52.00	479127834	0.90	219.00	447313062	167.00	3287.47	4841.055851	518758.169863	34.564274	9.530717	199.683522	222.990231	
SCar	sveh104	53.00	479127834	1.30	221.00	447313062	168.00	3287.47	5149.632410	531480.322503	36.207511	9.821324	205.791784	228.458875	
Car	veh3	39.00	49982592	0.50	222.00	gneE25	183.00	1647.25	8378.234676	428120.457070	48.132141	7.402294	173.993012	184.032454	
SCar	sveh50	31.00	-386690150	0.00	223.00	-34774629#0	192.00	1843.54	9810.337240	493829.591151	56.231526	9.009102	202.965673	212.277750	
SCar	sveh26	15.00	26119992#11	1.50	224.00	224648421#0	209.00	1530.22	12665.333934	500094.500192	69.343500	9.200055	206.779628	214.972937	
SCar	sveh231	104.00	549454263#0	0.40	224.00	367461722	120.00	1244.94	5184.718091	295757.862663	30.594129	5.413859	119.959976	127.134134	
SCar	sveh246	113.00	549454263#0	0.00	226.00	367461722	113.00	1244.94	5483.115704	329504.296453	32.750438	6.338291	134.701429	141.639699	
SCar	sveh69	40.00	-386690150	0.00	227.00	-34774629#0	187.00	1843.54	6328.995372	418602.990087	38.563024	6.829263	167.101006	179.940333	
SCar	sveh229	103.00	367461723	0.50	227.00	-256605510	124.00	2079.55	3633.705115	378284.240739	25.417604	6.619328	146.378021	162.607226	
SCar	sveh144	63.00	-386690150	0.90	229.00	-34774629#0	166.00	1843.54	5023.717636	377425.476755	31.674634	6.090485	149.851224	162.239359	
SCar	sveh63	39.00	479127834	0.70	230.00	447313062	191.00	3287.47	3958.159035	496386.829511	29.186237	8.149426	186.976841	213.374385	
SCar	sveh180	76.00	106586101#0	0.10	230.00	453763721	154.00	2210.72	4009.877910	385219.756126	27.355740	6.302883	148.174560	165.589256	
SCar	sveh68	41.00	480148041	1.00	233.00	304693638	192.00	3819.10	4602.683954	578912.440280	34.843601	10.246285	218.143670	248.847905	
SCar	sveh124	59.00	479127834	1.20	237.00	447313062	178.00	3287.47	5198.245749	566462.172514	37.308451	10.039541	214.791285	243.496566	
SCar	sveh132	60.00	479127834	0.70	238.00	447313062	178.00	3287.47	6008.978559	563550.143541	40.977196	10.439853	219.358224	242.244560	
SCar	sveh218	98.00	480148041	1.60	239.00	-34774629#0	141.00	2472.66	4095.119238	415526.915526	28.626844	7.366328	159.749774	178.616314	
SCar	sveh215	96.00	106586101#0	0.10	240.00	453763721	144.00	2210.72	3895.272565	382710.172181	26.831672	6.478651	147.502364	164.510202	
SCar	sveh339	167.00	256605510	0.90	240.00	304693638	73.00	896.35	2619.187074	216413.582671	17.027331	3.662719	86.030207	93.026728	
SCar	sveh129	59.00	13714843#0	0.60	241.00	-256605510	182.00	2149.03	5851.602076	459911.321146	37.349642	7.722465	183.557244	197.695952	
SCar	sveh269	128.00	549454263#0	0.30	241.00	367461722	113.00	1244.94	4280.700920	279799.622093	26.127690	5.102590	113.477474	120.273829	
SCar	sveh84	46.00	479198389	0.40	244.00	367461722	198.00	3393.40	6121.139985	615183.860302	42.550197	11.001134	239.195382	264.439519	
SCar	sveh43	28.00	479198389	0.50	245.00	35006698	217.00	4305.62	6196.270537	659192.914476	44.149825	12.198932	253.781214	283.356616	
SCar	sveh152	64.00	480148041	0.40	246.00	304693638	182.00	3819.56	3994.545572	511427.036739	30.526203	9.110054	190.634142	219.839135	
SCar	sveh91	49.00	479198389	0.30	247.00	367461722	198.00	3393.40	6087.442843	602446.522438	42.064855	10.889237	236.231550	258.964085	
SCar	sveh138	62.00	479127834	1.40	249.00	447313062	187.00	3287.47	5263.504428	540619.007621	36.694700	9.570670	208.360251	232.387628	
SCar	sveh195	84.00	479127834	0.60	249.00	447313062	165.00	3287.47	5179.431051	546490.744229	36.761313	10.151214	211.063609	234.911081	
SCar	sveh228	102.00	367461723	0.50	250.00	304693638	148.00	2771.64	4247.990895	456337.825349	30.176322	8.256754	176.830000	196.158555	
SCar	sveh155	65.00	460839284	0.90	252.00	-26119992#11	187.00	1661.74	10900.827553	476253.138863	60.859426	9.148460	198.140303	204.722924	
Car	veh6	80.00	96151239#5	0.80	253.00	gneE25	173.00	1190.19	9455.020510	369811.067976	51.650212	6.638846	152.202618	158.968989	
SCar	sveh28	16.00	479198389	0.40	254.00	35006698	238.00	4305.62	5522.017310	675088.135642	41.113437	11.535477	255.275575	290.189801	
SCar	sveh203	87.00	479127834	0.60	255.00	447313062	168.00	3287.47	4709.850933	514430.834262	33.883411	9.348457	196.839057	221.130248	
SCar	sveh122	58.00	479198389	0.70	256.00	367461722	198.00	3393.40	5711.586564	587465.276551	39.951468	10.364042	227.467083	252.524658	
SCar	sveh45	28.00	34774629#0	0.10	260.00	453763721	232.00	3733.42	5507.521927	588563.795570	38.894130	9.855841	225.231307	252.997397	
SCar	sveh160	66.00	460839284	0.00	261.00	453763721	195.00	3384.23	4895.326694	544807.712057	35.274990	9.410121	207.673128	234.188287	
SCar	sveh286	135.00	549454263#0	0.20	261.00	367461722	126.00	1244.94	7189.243041	318519.392734	40.196329	5.959382	130.296087	136.919521	
SCar	sveh123	58.00	479127834	0.20	265.00	447313062	207.00	3287.47	3725.470023	481997.301680	27.781125	7.486522	180.701323	207.189343	
SCar	sveh47	30.00	479198389	1.40	267.00	367461722	237.00	3392.69	5552.209747	569769.284221	38.415447	9.112802	218.661394	244.918944	
SCar	sveh178	75.00	460839284	0.40	267.00	453763721	192.00	3384.51	4489.227963	517387.482406	32.752961	8.744908	195.922164	222.401730	
SCar	sveh260	119.00	367461723	0.20	268.00	-256605510	149.00	2079.27	3303.503718	334178.759971	22.866793	5.332285	128.098594	143.648951	
