carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
1	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
2	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
3	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
4	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
5	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
6	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
7	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
8	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
9	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
10	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
11	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
12	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
13	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
14	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
15	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
